id_provisional,arm_id,study_id,pathogen_scope,resistance_class,resistance_class_source,dtr_status,route,modality,study_design,extraction_status,n_arm,clinical_success_n,adverse_event_n,microbio_eradication_n,mortality_n,los_days,resistance_emergence_n,publication_year,clinical_success_definition,journal_tier,geographic_source,extraction_citation,incomplete_reason,alerta_microbiologia,alerta_revision,registrado_en
EST-077,A,,Pseudomonas-only,,,,IV,phage+antibiotic combination,case series,PARTIAL,4,0,,,2,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Descenso de la sensibilidad al fago tras tres de los cinco tratamientos. Bacteriemia de brecha en cuatro de cinco.,SERIE COMPLETA DE FRACASOS: ningun desenlace favorable en cinco tratamientos y dos muertes. Contrapeso imprescindible frente a las series de exito.,2026-08-10 18:47
EST-078,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,RCT,PARTIAL,,,,,,,,2025,,,India,Resumen del registro bibliográfico; texto completo NO consultado,,Patogenos principales Klebsiella y Pseudomonas. Confirmar cuantas ulceras eran por P. aeruginosa.,Es uno de los tres estudios del corpus que SOLO existen como resumen de congreso. Entra en el analisis de sensibilidad que los excluye.,2026-08-10 18:47
EST-079,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,other,,RCT,PARTIAL,33,,,,,,,2025,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Sextafago, piobacteriofago polivalente comercial. Patogenos clave declarados: S. aureus y P. aeruginosa.","MUY VALIOSO: tres grupos de 11, uno con MONOTERAPIA de fago y otro control con ciprofloxacino solo. Alimenta a la vez el estrato de monoterapia y el de comparador.",2026-08-10 18:47
EST-080,A,,,,,,,,case series,PARTIAL,4,4,0,,,,,2020,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,Fagos comerciales elegidos por sensibilidad del aislado. El resumen no nombra los organismos: confirmar cuales eran Pseudomonas.,Cuatro de cuatro con resultado positivo y ningun efecto adverso. Serie retrospectiva de un solo centro: riesgo alto de seleccion favorable.,2026-08-10 18:47
EST-081,A,,,,,,,,,PARTIAL,,,,,,,,2020,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin datos primarios propios.,El resumen empieza con Purpose of review. Es una REVISION de casos publicados por otros: excluir con codigo REV.,2026-08-10 18:47
EST-083,A,,,,,,,,,PARTIAL,,,,,,,,2021,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Describe la seleccion y combinacion de fagos como problema pendiente, no resultados de pacientes.",Descripcion del marco PHAGEFORCE y de los obstaculos del campo. Sin desenlaces. Verificar si es protocolo o articulo de posicion.,2026-08-10 18:47
EST-085,A,,Pseudomonas-only,,,,inhaled/nebulized,,case report,PARTIAL,1,,,0,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Primer uso en humanos de un fago de ARN bicatenario, phiYY, unico en todo el corpus. Cepa productora de piomelanina. Los aislados recurrentes seguian sensibles al fago.","Recurrencias entre 1 y 3 dias despues de cada tanda: el efecto no se sostuvo. Extraer con cuidado, porque hubo mejoria sintomatica sin control microbiologico.",2026-08-10 18:47
EST-086,A,,,,,,,,RCT,PARTIAL,30,,,,,,,2023,,,Iran,Resumen del registro bibliográfico; texto completo NO consultado,,El resumen no confirma que las neumonias bacterianas secundarias fueran por P. aeruginosa.,"La poblacion es COVID-19 con neumonia bacteriana secundaria, no infeccion por Pseudomonas confirmada. Verificar elegibilidad antes de extraer.",2026-08-10 18:47
EST-088,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,other,phage+antibiotic combination,case report,PARTIAL,1,1,0,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fagos dirigidos a la vez contra S. aureus, P. aeruginosa y S. maltophilia en el mismo paciente.",La infeccion principal es SARM productor de leucocidina de Panton-Valentine; Pseudomonas es acompanante. Comprobar si el desenlace atribuible a Pseudomonas se puede separar.,2026-08-10 18:47
EST-089,A,,,,,,,,non-randomised trial,PARTIAL,46,,,,,,,2024,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Hipertrofia adenoidea en ninos de 3 a 7 anos. No es una infeccion por P. aeruginosa y el resumen no nombra ningun organismo.,"ALERTA: la indicacion es hipertrofia adenoidea, no infeccion. Probable exclusion en texto completo con codigo OFF.",2026-08-10 18:47
EST-090,A,,,,,,,,,PARTIAL,,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado.,"Revista profesional farmaceutica neerlandesa y titulo de noticia: probable nota de prensa, no articulo cientifico. Verificar antes de tratarlo como estudio.",2026-08-10 18:47
EST-091,A,,,,,,,,prospective cohort,PARTIAL,10,,,,,,,2025,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,Expresion de 22 genes inmunitarios en celulas mononucleares y granulocitos. Sin datos de organismo ni de resistencia.,"El desenlace es expresion genica, no curacion. Probablemente no aporta ningun desenlace clinico extraible.",2026-08-10 18:47
EST-092,A,,,,,,,,RCT,PARTIAL,70,,,,,,,2025,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Espectro microbiologico, citologia de impronta y microscopia electronica de biopsias. El resumen no desglosa organismos.",Ensayo aleatorizado comparativo posautorizacion con 70 pacientes. Valioso si se puede aislar el subgrupo de P. aeruginosa.,2026-08-10 18:47
EST-093,A,,,,,,,,,PARTIAL,,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Tres fagos evaluados contra una P. aeruginosa productora de KPC-5 en cineticas de muerte de 24 horas y modelo de fibra hueca de 7 dias.,ALERTA: NO hay pacientes. Es un modelo in vitro de fibra hueca. Excluir en texto completo con codigo LAB; se colo en el cribado por resumen.,2026-08-10 18:47
EST-094,A,,Pseudomonas-only,not-classifiable,not-classifiable,,,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Los fagos resensibilizaron la cepa a levofloxacino y piperacilina-tazobactam. No sensible a fluoroquinolonas no equivale a MDR: verificar el antibiograma.,"Mejoria radiologica por PET/TC con 18F-FDG y un ano sin recurrencia de bacteriemia. Desenlace objetivo, poco frecuente en casos clinicos.",2026-08-10 18:47
EST-095,A,,Pseudomonas-only,,,,,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2021,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fiebre transitoria y dolor local atribuidos a liberacion de fragmentos bacterianos al torrente: puede contar como evento adverso, decidirlo explicitamente.","Nino de 7 anos con infeccion osteoarticular cronica. Ajuste de dosis en tiempo real segun cinetica del fago: la dosis no fue fija, extraerla con cuidado.",2026-08-10 19:15
EST-096,A,,,,,,intravesical,,prospective cohort,PARTIAL,,,,,,,,2021,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,Infecciones urogenitales multirresistentes sin especificar organismo. Administracion intravesical e intravaginal.,El objeto es la inmunogenicidad. Habla de buenos resultados en algunos pacientes sin dar denominador: sin cifras no es extraible.,2026-08-10 19:15
EST-098,A,,,,,,other,phage+antibiotic combination,case series,PARTIAL,,,,,,,,2022,,,Alemania,Resumen del registro bibliográfico; texto completo NO consultado,,Infecciones cronicas de implantes cardiovasculares. El resumen no da organismos ni clase de resistencia.,"Resumen sin una sola cifra: ni n, ni desenlaces. Todo el dato esta en el texto completo del German Heart Center.",2026-08-10 19:15
EST-100,A,,,,,,,,prospective cohort,PARTIAL,520,,,,,,,2024,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Identificacion por MALDI-TOF y fagograma por spot test y Gratia modificado. No desglosa organismos.,"520 pacientes: la cohorte mas grande de todo el corpus. Confirmar cuantos tenian P. aeruginosa y si hay desenlaces por organismo, o el tamano no sirve de nada.",2026-08-10 19:15
EST-101,A,,,,,,inhaled/nebulized,,RCT,PARTIAL,30,,,,,,,2025,,,Iran,Resumen del registro bibliográfico; texto completo NO consultado,,"Coctel de fagos nebulizado 7 dias. Excluyeron ninos que ya tenian neumonia bacteriana, asi que no hay organismo diana identificado.","ALERTA DE PICO: es PREVENCION de neumonia asociada a ventilador, no tratamiento de una infeccion por P. aeruginosa. Verificar si encaja en la pregunta de la revision.",2026-08-10 19:15
EST-103,A,,,,,,,,RCT,PARTIAL,80,,,,,,,2026,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Analisis citomorfologico de improntas y microscopia electronica de biopsias. Sin desglose de organismos en el resumen.,Ensayo aleatorizado comparativo con 80 pacientes. Valioso si se aisla el subgrupo de Pseudomonas.,2026-08-10 19:15
EST-105,A,,Pseudomonas-only,XDR,author-reported,,topical/local,,case report,PARTIAL,1,,,,,,,2018,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. El titulo confirma XDR y aplicacion local en infeccion osteoarticular compleja.,"Sin resumen: todo hay que sacarlo del texto completo. Publicado en JAC, revista de primer nivel en resistencias.",2026-08-10 19:15
EST-106,A,,Pseudomonas-only,,,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2018,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fago OMKO1 se une a las bombas de eflujo: la resistencia al fago aumenta la sensibilidad antibiotica. Es el caso fundacional del compromiso evolutivo, citado por medio campo.","Una sola aplicacion de fago mas ceftazidima resolvio la infeccion del injerto aortico. Extraer la duracion del seguimiento, que el resumen no da.",2026-08-10 19:15
EST-108,A,,,,,,,,retrospective cohort,PARTIAL,100,,,,,,,2024,,,multicentrico (internacional),Resumen del registro bibliográfico; texto completo NO consultado,,"Veintiseis fagos y seis cocteles definidos, a veces preadaptados a la cepa. Indicaciones mas frecuentes: respiratoria baja, piel y partes blandas, y hueso.","Ya esta extraido en el corpus del proyecto, separado en tres brazos por clase de resistencia (XDR 7, MDR 23, PDR 2). Reutilizar esa separacion en vez de rehacerla.",2026-08-10 19:15
EST-109,A,,,,,,,,non-randomised trial,PARTIAL,41,,,,,,,2024,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Profilaxis con coctel de fagos en pacientes con dano cerebral grave. Sin organismo diana identificado.,"ALERTA DE PICO: es PROFILAXIS de neumonia, no tratamiento. Tiene grupo control de 38 y seguimiento a 28 dias, pero la pregunta no es la de la revision.",2026-08-10 19:15
EST-110,A,,mixed-pathogen-with-Pseudomonas-subgroup,MDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,El fago topico cambio el perfil de resistencia de las P. aeruginosa supervivientes y eso permitio elegir un antibiotico eficaz contra ambos patogenos. Mecanismo poco documentado.,"Nina de 3 meses, el paciente mas joven del corpus. Publicado en Methods in Molecular Biology, que es serie de libros y no revista.",2026-08-10 19:15
EST-115,A,,,,,,,,prospective cohort,PARTIAL,62,,,,,,,2017,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,Infecciones bacterianas variadas sin especificar. Test de neutralizacion del fago segun via de administracion.,"El desenlace analizado es la correlacion entre anticuerpos y resultado, no la eficacia. Comprobar si el texto da desenlaces clinicos agregados aprovechables.",2026-08-10 19:15
EST-116,A,,,,,,,,retrospective cohort,PARTIAL,15,,,,,,,2019,,,Belgica,Resumen del registro bibliográfico; texto completo NO consultado,,El resumen no dice que organismos se trataron en los 15 casos.,"260 solicitudes entre 2013 y 2018 pero solo 15 pacientes tratados. Usar 15, nunca 260: es el mismo error de denominador que en los registros de Israel y Lyon.",2026-08-10 19:15
EST-117,A,,,,,,,,prospective cohort,PARTIAL,25,,,,,,,2021,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,Sinusitis cronica; el resumen no nombra los organismos. Confirmar cuantos por P. aeruginosa.,"Grupo homogeneo de 25 pacientes con el mismo cuadro, lo que es raro y util. Pero el desenlace medido son anticuerpos, no curacion.",2026-08-10 19:15
EST-118,A,,,,,,intravesical,phage monotherapy,RCT,PARTIAL,,,,,,,,2021,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,"Piofago comercial, no personalizado, en infeccion urinaria. Confirmar cuantos aislados eran P. aeruginosa.","EL COMPARADOR MAS LIMPIO DEL CORPUS: tres brazos aleatorizados 1:1:1 con fago, placebo y antibiotico sistemico, doble ciego. Extraer los tres brazos.",2026-08-10 19:15
EST-120,A,,,,,,inhaled/nebulized,,prospective cohort,PARTIAL,212,,,,,,,2021,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Amigdalitis aguda en ninos: el organismo tipico es Streptococcus, no P. aeruginosa. El piobacteriofago complejo es polivalente.","Confirmar si algun paciente tenia P. aeruginosa. Si no, se excluye con codigo ORG pese a ser un estudio grande.",2026-08-10 19:15
EST-121,A,,,,,,,,,PARTIAL,,,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Los complejos fago-anticuerpo podrian quedar atrapados en tejidos y causar complicaciones tardias, segun los autores. Relevante para seguridad.","Informe preliminar sobre persistencia de anticuerpos, sin cohorte con desenlaces clinicos. Probablemente no aporta nada extraible.",2026-08-10 19:15
EST-122,A,,,,,,,,non-randomised trial,PARTIAL,,,,,,,,2022,,,Australia,Resumen del registro bibliográfico; texto completo NO consultado,,"Exige actividad in vitro alta del producto contra el patogeno diana antes de tratar. Buen criterio, poco frecuente.","Es un PROTOCOLO de ensayo abierto de un solo brazo, 50 a 100 pacientes en 5 anos. Sin resultados todavia.",2026-08-10 19:15
EST-123,A,,,,,,inhaled/nebulized,,non-randomised trial,PARTIAL,105,,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Se midieron IgA secretora salival, TNF alfa y cociente neutrofilos-linfocitos. Ningun dato microbiologico de organismo.","ALERTA DE DUPLICADO: son los MISMOS 212 ninos de EST-120, mismo rango de edad y mismo piobacteriofago. Muy probablemente dos informes del mismo estudio. Agrupar antes de extraer.",2026-08-10 19:15
EST-124,A,,Pseudomonas-only,MDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,,1,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Los modelos in vitro mostraron que el fago solo NO erradicaba el biofilm, solo prevenia su formacion, y aparecieron cepas resistentes. El exito clinico no se explica solo por el fago.","Hubo reposicionamiento quirurgico del driveline ademas del fago y el antibiotico: cointervencion que compite por la atribucion. Contrastar con EST-077, que fracaso en la misma indicacion.",2026-08-10 19:15
EST-125,A,,,,,,topical/local,,non-randomised trial,PARTIAL,55,,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Rinosinusitis cronica; el resumen no nombra los organismos. Lavado sinusal con bacteriofago tras puncion maxilar.,Tiene grupo comparador con antibiotico. Confirmar cuantos pacientes tenian P. aeruginosa antes de usar cualquier cifra.,2026-08-10 19:16
EST-126,A,,,,,,inhaled/nebulized,,RCT,PARTIAL,212,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Piobacteriofago polivalente inhalado en amigdalitis aguda infantil. Sin dato de organismo.,"ALERTA DE DUPLICADO: TERCER informe de la misma cohorte de 212 ninos de 4 a 15 anos. EST-120, EST-123 y EST-126 son casi con seguridad el mismo estudio. Agrupar los tres antes de extraer nada.",2026-08-10 19:16
EST-127,A,,,,,,,,RCT,PARTIAL,150,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Infeccion vaginal en embarazo, con fago dirigido al patogeno identificado por cultivo. P. aeruginosa es un patogeno vaginal muy infrecuente.","Comparador con clorhexidina y 300 pacientes. Pero si ninguna infeccion era por P. aeruginosa, se excluye con codigo ORG pese al tamano.",2026-08-10 19:16
EST-128,A,,Pseudomonas-only,,,,,,case report,PARTIAL,1,,,,,,,2024,,,Dinamarca,Resumen del registro bibliográfico; texto completo NO consultado,,Dos fagos liticos antipseudomonicos en injerto aortico protesico con infeccion cronica recidivante.,"Primer uso de fagoterapia en Dinamarca. Buena parte del articulo es regulatoria, no clinica: el desenlace puede estar poco detallado.",2026-08-10 19:16
EST-129,A,,,,,,,,,PARTIAL,,,,,,,,2025,,,Reino Unido,Resumen del registro bibliográfico; texto completo NO consultado,,"Los tres pacientes: S. aureus, Klebsiella mas S. aureus, y S. epidermidis. NINGUNO tenia P. aeruginosa.",ALERTA: ningun caso es por P. aeruginosa. Excluir en texto completo con codigo ORG. El segundo caso ademas no se resolvio.,2026-08-10 19:16
EST-130,A,,,,,,,,,PARTIAL,,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Colonizacion recurrente de las lesiones por Staphylococcus aureus. No hay Pseudomonas.,ALERTA: hidradenitis supurativa por S. aureus. Excluir con codigo ORG pese a estar en Nature Communications.,2026-08-10 19:16
EST-131,A,,,,,,other,,case report,PARTIAL,1,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Los fagos HP3.1, HP3 y ES19 son de la coleccion anti-Escherichia coli. Confirmar el organismo: si es E. coli, se excluye.","Desenlace primario declarado es seguridad y tolerabilidad, no curacion. Mujer de 72 anos sin litiasis ni sondaje: poblacion limpia.",2026-08-10 19:16
EST-132,A,,,,,,topical/local,,RCT,PARTIAL,76,,,,,,,2026,,,India,Resumen del registro bibliográfico; texto completo NO consultado,,Ulceras por presion de grado II a IV en UCI. El resumen no da organismos.,Ensayo aleatorizado doble ciego con comparador convencional. Valioso si se aisla el subgrupo de Pseudomonas.,2026-08-10 19:16
EST-133,A,,,,,,,,case series,PARTIAL,,,,,,,,2016,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,"El cribado in vitro fue sobre E. coli y K. pneumoniae resistentes, no sobre P. aeruginosa. El piobacteriofago si es polivalente.",Probable exclusion con codigo ORG. Ademas es uno de los tres estudios del corpus que solo existen como resumen de congreso.,2026-08-10 19:16
EST-134,A,,,,,,intravesical,,case series,PARTIAL,,,,,,,,2018,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,Piofago comercial adaptado a la cepa del paciente. Fase de adaptacion previa documentada.,"Es el piloto del ECA de Leitner (EST-118), en la misma poblacion de resecccion transuretral de prostata. Comprobar solapamiento de pacientes antes de contarlos por separado.",2026-08-10 19:16
EST-135,A,,,,,,,,,PARTIAL,,,,,,,,2020,,,Francia,Resumen del registro bibliográfico; texto completo NO consultado,,"Megaprotesis de rodilla infectada por Staphylococcus aureus, no Pseudomonas.",ALERTA: organismo S. aureus. Excluir con codigo ORG. El hidrogel DAC como vehiculo es interesante pero no cambia la elegibilidad.,2026-08-10 19:16
EST-136,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,prospective cohort,PARTIAL,30,,,,,,,2025,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Siete organismos distintos en 30 pacientes, con P. aeruginosa entre ellos. Fagoterapia EMPIRICA, sin fagograma previo.","El 90 por ciento de regresion clinica y el 46,7 por ciento de saneamiento microbiologico son del total, no del subgrupo de Pseudomonas. Sin desglose no sirven.",2026-08-10 19:16
EST-139,A,,,,,,,,non-randomised trial,PARTIAL,50,,,,,,,2018,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Endometritis cronica tratada con ozono mas piobacteriofago. El ozono es una cointervencion potente que compite por la atribucion.,"El desenlace medido es hemodinamica uterina por Doppler, no curacion de la infeccion. Probablemente no aporta desenlaces del esquema.",2026-08-10 19:16
EST-140,A,,,,,,,,case report,PARTIAL,1,,,,,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. Infeccion de dispositivo de asistencia ventricular izquierda.,"Sin resumen. Contrastar con EST-077 y EST-124, que son la misma indicacion con resultados opuestos: uno fracaso completo y otro curacion.",2026-08-10 19:16
EST-142,A,,,,,,,,,PARTIAL,,,,,,,,2021,,,Japon,Resumen del registro bibliográfico; texto completo NO consultado,,"Sin resumen indexado. Endoftalmitis bacteriana, indicacion unica en el corpus.",Sin resumen y en revista japonesa no indexada en PubMed: de los mas dificiles de recuperar. Escribir a los autores puede ser la unica via.,2026-08-10 19:16
EST-144,A,,,,,,intravesical,,RCT,PARTIAL,25,,,,,,,2021,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Cistitis cronica recurrente. El resumen no dice que uropatogenos.,"Tres grupos aleatorizados 1:1:1 con 75 pacientes. Tiene comparador, que es lo escaso en este corpus.",2026-08-10 19:16
EST-145,A,,,,,,,,case report,PARTIAL,1,,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Infeccion periprotesica cronica de cadera con hemorragia arrosiva de la arteria femoral. Sin organismo declarado en el resumen.,"Terapia de vacio continua durante tres semanas ademas del fago y el antibiotico. Con tres intervenciones simultaneas, atribuir el resultado al fago no es defendible.",2026-08-10 19:16
EST-146,A,,,,,,,,retrospective cohort,PARTIAL,12,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fagos cribados, purificados, secuenciados y aprobados por la FDA via IND de uso compasivo. Infecciones de dispositivo o sistemicas.",50 solicitudes y 12 casos tratados: usar 12. Desenlaces clasificados como favorable o desfavorable por criterio micro y clinico. Confirmar cuantos por P. aeruginosa.,2026-08-10 19:16
EST-147,A,,,,,,,,case report,PARTIAL,1,,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Absceso postinyeccion recurrente en paciente con artritis reumatoide y corticoides. Sin organismo declarado.,La fagoterapia aparece como un componente menor de un tratamiento quirurgico complejo. Comprobar si hay desenlace atribuible al fago.,2026-08-10 19:16
EST-151,A,,,,,,,,case series,PARTIAL,3,,,,,,,2024,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Se observo restauracion de la sensibilidad a varios antimicrobianos tras el fago: mismo fenomeno de resensibilizacion que en EST-094 y EST-106.,"ALERTA DE PICO: es PREVENCION de infecciones urinarias sintomaticas en vejiga neurogena, no tratamiento de una infeccion establecida.",2026-08-10 19:16
EST-152,A,,,,,,,,prospective cohort,PARTIAL,27,,,,,,,2025,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,"Los fagos nombrados son Staph_1N y Staph_A5L, ambos anti-Staphylococcus aureus. No hay indicio de Pseudomonas.","Probable exclusion con codigo ORG. El desenlace ademas son anticuerpos antifago, no curacion.",2026-08-10 19:38
EST-157,A,,,,,,topical/local,,RCT,PARTIAL,30,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Heridas cronicas de mas de 6 semanas con bacterias multirresistentes y biofilm. El resumen no nombra organismos.,"ECA con placebo y 30 por brazo, ambos con desbridamiento y antibiotico de base. Buen diseno; confirmar cuantos por P. aeruginosa.",2026-08-10 19:38
EST-159,A,,,,,,,,case report,PARTIAL,1,,,,,,,2022,,,Alemania,Resumen del registro bibliográfico; texto completo NO consultado,,Infeccion del injerto de salida de un dispositivo de asistencia ventricular. El resumen no declara el organismo.,"Hubo revision quirurgica con reesternotomia ademas del fago: cointervencion mayor. Misma indicacion que EST-077, EST-124 y EST-140.",2026-08-10 19:38
EST-163,A,,,,,,inhaled/nebulized,,prospective cohort,PARTIAL,120,,,,,,,2018,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Sinusitis aguda y cronica en ninos de 4 a 17 anos. No se nombran organismos ni se distingue P. aeruginosa.,"La lisis del patogeno en el 98 por ciento de los cultivos al dia 10 es un desenlace microbiologico de laboratorio, no un desenlace clinico del paciente.",2026-08-10 19:38
EST-164,A,,,,,,topical/local,,case series,PARTIAL,4,,,,,,,2019,,,Belgica,Resumen del registro bibliográfico; texto completo NO consultado,,"Cocteles seleccionados segun el patogeno aislado y aplicados en quirofano, con drenaje hasta 10 dias. El resumen no dice que organismos.",Primeros pasos del grupo de trabajo multidisciplinar belga. Confirmar cuantos de los 4 tenian P. aeruginosa.,2026-08-10 19:38
EST-165,A,,,,,,topical/local,,prospective cohort,PARTIAL,48,,,,,,,2021,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Monofago para infeccion por un solo organismo y coctel para dos o mas. Sin desglose de organismos en el resumen.,"Excluyeron quemados, malignidad, lepra y tuberculosis pero incluyeron diabeticos e hipertensos. Poblacion bien definida; confirmar el subgrupo de Pseudomonas.",2026-08-10 19:38
EST-166,A,,,,,,,,case report,PARTIAL,1,,,,,,,2022,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Sepsis obstetrica por patogenos del grupo ESKAPE, que incluye P. aeruginosa, pero el resumen no dice cual tenia la paciente.","Mezcla un caso clinico con una revision del estado del problema. Extraer solo el caso; si no se separa, excluir con codigo REV.",2026-08-10 19:38
EST-167,A,,,,,,topical/local,,non-randomised trial,PARTIAL,27,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Heridas traumaticas mayoritariamente polimicrobianas. Fago especifico aislado tras cultivo del propio paciente.,Estudio de casos y controles con 27 por grupo. Tiene comparador convencional; confirmar cuantas heridas eran por P. aeruginosa.,2026-08-10 19:38
EST-168,A,,,,,,,,non-randomised trial,PARTIAL,150,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Salpingooforitis cronica. Cultivo del canal cervical con sensibilidad a antibioticos y fagos, pero sin desglose de organismos.","La ozonoterapia es una cointervencion potente en el grupo principal: el efecto no se puede atribuir al fago. Ademas, P. aeruginosa es poco habitual en esta indicacion.",2026-08-10 19:38
EST-169,A,,Pseudomonas-only,,,,other,phage+antibiotic combination,case series,PARTIAL,2,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Instilacion broncoscopica seguida de nebulizacion durante 14 dias, con antibiotico intravenoso y fisioterapia concurrentes.","Dos pacientes de 12 y 17 anos con fibrosis quistica. Aporta funcion pulmonar como desenlace, poco frecuente en casos clinicos.",2026-08-10 19:38
EST-170,A,,,,,,,,case report,PARTIAL,1,1,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Aneurisma micotico con infeccion esternal y mediastinica. El resumen no declara el organismo.,"El fago se dio solo 5 dias despues de 6 semanas de antibiotico. Con esa secuencia, atribuir al fago los 2 anos sin recurrencia es discutible.",2026-08-10 19:38
EST-173,A,,,,,,,,non-randomised trial,PARTIAL,68,,,,,,,2016,,,Ucrania,Resumen del registro bibliográfico; texto completo NO consultado,,Infecciones purulentas de partes blandas. El resumen no nombra organismos.,"Poblacion seleccionada por ALERGIA a antibioticos, muy especifica: los pacientes no recibieron el tratamiento estandar por motivos ajenos a la resistencia. Tres grupos comparados.",2026-08-10 19:38
EST-174,A,,,,,,,,prospective cohort,PARTIAL,65,,,,,,,2016,,,Ucrania,Resumen del registro bibliográfico; texto completo NO consultado,,"Piobacteriofago polivalente, intestibacteriofago y coliproteico para saneamiento abdominal y descontaminacion intestinal.","El desenlace medido es la recuperacion de la funcion motora intestinal, no la curacion de una infeccion por Pseudomonas. Probablemente no aporta desenlaces del esquema.",2026-08-10 19:38
EST-175,A,,,,,,,phage monotherapy,non-randomised trial,PARTIAL,40,,,,,,,2019,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Mezcla Ostophag en monoterapia frente a antiseptico. Microflora patogena de las criptas amigdalinas sin identificar.,"Es PREVENCION secundaria de exacerbaciones de amigdalitis cronica, no tratamiento de una infeccion activa. Aun asi, tiene brazo de monoterapia con fago.",2026-08-10 19:38
EST-176,A,,,,,,,,prospective cohort,PARTIAL,107,,,,,,,2020,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Analiza microflora de utero, canal cervical, vias urinarias e intestino, pero el resumen no confirma que se administraran fagos.","Verificar que la intervencion incluye fagoterapia. Si el fago no es la intervencion evaluada, se excluye con codigo OFF.",2026-08-10 19:38
